road_id,road_type,num_lanes,num_signals,zone_type
RD08466,urban,,9,commercial
RD01426,residential,2,7,residential
RD00830,residential,,5,residential
RD15368,urban,,8,commercial
RD09483,highway,6,3,residential
RD15289,residential,,10,residential
RD20061,residential,2,7,residential
RD00139,highway,3,2,industrial
RD12084,urban,3,3,industrial
RD19930,highway,3,2,commercial
RD05558,highway,,3,industrial
RD18361,urban,3,3,commercial
RD02155,residential,1,12,residential
RD00651,residential,1,10,residential
RD20393,residential,1,8,commercial
RD00870,highway,6,0,industrial
RD02378,highway,5,3,industrial
RD18613,residential,3,12,residential
RD09379,urban,3,3,residential
RD10623,residential,1,6,commercial
RD07521,residential,3,7,residential
RD13099,highway,5,2,residential
RD02042,residential,3,5,residential
RD09419,urban,2,6,commercial
RD21871,residential,1,13,residential
RD21912,residential,3,,commercial
RD00995,residential,1,12,residential
RD14781,urban,,,residential
RD08580,highway,3,1,commercial
RD15235,urban,3,5,residential
RD17600,urban,3,6,
RD06449,urban,,5,residential
RD07268,residential,3,7,commercial
RD18291,residential,3,9,commercial
RD16034,residential,2,12,residential
RD01468,residential,1,13,residential
RD15814,highway,6,2,industrial
RD21034,urban,3,10,residential
RD21237,urban,2,6,residential
RD00747,urban,2,3,residential
RD09963,residential,2,13,residential
RD05727,highway,4,2,industrial
RD19120,highway,4,3,
RD10093,urban,2,8,commercial
RD15877,urban,2,4,commercial
RD14116,residential,1,8,residential
RD18200,residential,2,13,residential
RD09095,urban,3,5,residential
RD01107,residential,,6,residential
RD06454,urban,4,5,residential
RD02210,urban,4,3,industrial
RD06726,residential,1,8,residential
RD16073,residential,2,13,residential
RD20959,residential,3,8,commercial
RD10862,urban,3,7,
RD16711,highway,5,2,residential
RD14830,urban,2,3,commercial
RD15858,urban,4,4,commercial
RD15220,urban,,4,commercial
RD15208,residential,1,11,residential
RD01189,urban,4,3,commercial
RD03753,residential,2,12,commercial
RD21772,urban,2,3,commercial
RD05183,urban,4,6,
RD00452,urban,4,9,commercial
RD13655,urban,,11,commercial
RD00399,residential,2,14,residential
RD02057,residential,3,5,commercial
RD21380,highway,6,0,industrial
RD01947,urban,3,3,industrial
RD20871,highway,4,1,commercial
RD06683,residential,1,9,residential
RD21745,highway,4,0,commercial
RD20300,residential,2,14,residential
RD10081,highway,5,1,commercial
RD21082,urban,4,4,residential
RD15103,urban,3,4,residential
RD04645,residential,2,14,commercial
RD05661,highway,3,1,commercial
RD20174,highway,3,3,commercial
RD15509,highway,5,0,commercial
RD10125,urban,4,7,commercial
RD06431,residential,2,7,residential
RD02108,urban,2,5,commercial
RD12400,residential,2,7,residential
RD11324,residential,,9,industrial
RD13279,highway,,1,industrial
RD06344,highway,3,3,industrial
RD06024,residential,3,10,commercial
RD10079,urban,3,7,industrial
RD11720,residential,3,12,residential
RD01796,urban,3,11,residential
RD03397,urban,4,5,industrial
RD05299,urban,2,,commercial
RD20691,residential,2,14,industrial
RD06509,highway,4,3,commercial
RD10594,residential,2,,residential
RD09758,urban,2,11,industrial
RD18505,highway,,,
RD10174,urban,3,4,commercial
RD20209,highway,3,0,
RD15200,urban,4,3,residential
RD03055,residential,3,5,industrial
RD16147,highway,6,3,residential
RD11883,urban,4,3,industrial
RD02310,highway,3,3,residential
RD05202,urban,4,7,commercial
RD11862,residential,1,15,commercial
RD02734,urban,4,10,commercial
RD09674,highway,4,0,industrial
RD03087,urban,3,10,residential
RD11130,urban,2,8,industrial
RD11454,urban,3,11,industrial
RD20505,residential,1,11,residential
RD03659,highway,,0,residential
RD20537,residential,3,14,industrial
RD15282,urban,,,industrial
RD12069,urban,2,11,commercial
RD13473,residential,3,8,industrial
RD14553,urban,4,11,
RD17928,urban,3,9,commercial
RD00352,highway,6,0,industrial
RD14812,residential,,14,industrial
RD07481,highway,3,2,commercial
RD13480,residential,2,13,residential
RD21354,urban,3,,residential
RD02249,highway,3,2,commercial
RD02373,residential,1,8,
RD16177,residential,3,8,residential
RD06938,residential,3,11,residential
RD16046,residential,,13,residential
RD08292,highway,6,0,commercial
RD13693,residential,3,6,
RD19941,highway,4,1,commercial
RD20325,highway,6,2,commercial
RD16246,highway,,3,
RD13331,residential,2,9,industrial
RD03728,highway,5,2,commercial
RD13664,residential,3,8,commercial
RD04744,urban,4,4,commercial
RD14167,urban,3,7,commercial
RD07848,urban,3,,residential
RD05929,urban,2,6,residential
RD02000,urban,3,8,commercial
RD02047,highway,6,2,industrial
RD13302,residential,,6,commercial
RD01942,residential,2,11,residential
RD12389,highway,6,3,residential
RD11179,urban,3,4,commercial
RD14757,residential,2,8,commercial
RD15320,residential,3,11,residential
RD18116,urban,3,5,commercial
RD05067,residential,3,7,residential
RD20424,urban,2,7,industrial
RD09760,highway,6,2,commercial
RD05950,urban,3,4,industrial
RD18739,highway,4,3,industrial
RD20649,highway,3,0,industrial
RD02866,urban,,3,residential
RD10914,urban,3,3,residential
RD13232,highway,,3,industrial
RD09252,urban,3,3,commercial
RD21009,residential,2,9,commercial
RD13710,urban,2,6,residential
RD06272,urban,4,7,residential
RD15476,urban,3,6,commercial
RD17340,highway,6,0,industrial
RD02473,residential,3,10,residential
RD04850,highway,4,1,residential
RD00424,residential,1,12,commercial
RD16168,urban,2,11,commercial
RD15402,residential,3,8,residential
RD15286,urban,3,8,residential
RD05156,urban,2,10,commercial
RD20212,residential,2,5,residential
RD08615,residential,3,10,commercial
RD07035,highway,3,,commercial
RD07255,residential,2,9,residential
RD06720,urban,2,6,commercial
RD20307,urban,3,4,industrial
RD15917,highway,4,3,
RD14243,highway,4,,residential
RD07816,urban,2,10,industrial
RD14197,residential,3,8,commercial
RD00383,urban,3,10,residential
RD04829,urban,2,11,
RD06596,residential,2,5,industrial
RD08708,urban,2,7,commercial
RD20494,urban,3,4,commercial
RD00601,residential,3,7,residential
RD11019,residential,3,8,residential
RD04234,highway,5,3,commercial
RD18351,highway,4,1,industrial
RD04819,urban,2,11,residential
RD13417,residential,1,7,residential
RD01233,residential,1,7,commercial
RD20018,highway,6,,commercial
RD21215,urban,3,8,residential
RD03060,residential,2,12,residential
RD10244,urban,4,9,industrial
RD19189,urban,2,10,commercial
RD05394,residential,3,,commercial
RD19024,residential,3,11,commercial
RD10212,residential,2,14,
RD11120,highway,4,1,industrial
RD21621,urban,3,10,commercial
RD01619,urban,2,6,commercial
RD02124,residential,1,13,commercial
RD19298,urban,4,4,commercial
RD10916,urban,2,8,commercial
RD19214,urban,4,3,commercial
RD07152,urban,3,7,residential
RD12710,residential,1,11,residential
RD19181,highway,6,3,commercial
RD13997,urban,4,5,commercial
RD01618,residential,1,10,commercial
RD07446,residential,3,13,commercial
RD01956,urban,3,9,residential
RD21944,residential,2,15,commercial
RD12613,highway,,,commercial
RD07252,highway,5,0,industrial
RD02176,urban,2,10,residential
RD09751,residential,1,5,residential
RD12388,residential,3,6,residential
RD19927,urban,3,3,commercial
RD15039,highway,4,1,industrial
RD00050,residential,1,12,commercial
RD03648,residential,2,6,residential
RD16238,highway,5,2,residential
RD17304,urban,2,8,residential
RD10482,urban,3,7,commercial
RD16161,highway,5,1,industrial
RD17343,urban,2,11,commercial
RD14179,highway,6,0,industrial
RD09126,highway,6,3,commercial
RD18914,residential,,8,commercial
RD01866,urban,2,,residential
RD02650,urban,3,10,commercial
RD05573,residential,1,,commercial
RD03204,urban,4,3,commercial
RD14928,highway,4,1,
RD06084,highway,,3,residential
RD16276,urban,2,4,residential
RD18023,urban,4,5,
RD00785,residential,3,7,residential
RD04247,residential,3,10,commercial
RD18391,residential,,8,residential
RD16490,highway,6,0,commercial
RD12849,urban,3,9,industrial
RD13556,urban,3,5,residential
RD08172,urban,4,6,residential
RD06243,urban,2,5,industrial
RD15902,residential,,11,residential
RD07493,residential,1,10,residential
RD09570,urban,3,9,commercial
RD20856,highway,4,2,commercial
RD12454,residential,2,12,commercial
RD08405,residential,1,9,residential
RD05294,residential,3,14,commercial
RD11533,residential,1,11,
RD08799,residential,3,12,industrial
RD07403,residential,1,9,residential
RD02016,urban,4,5,residential
RD06515,urban,4,7,
RD11441,urban,4,9,commercial
RD02229,urban,3,11,commercial
RD04331,highway,3,1,commercial
RD14913,residential,2,15,residential
RD14248,urban,,7,commercial
RD07889,urban,,11,commercial
RD09873,residential,1,15,residential
RD15937,urban,3,3,commercial
RD14590,highway,4,2,commercial
RD03814,highway,6,0,residential
RD04320,highway,,3,industrial
RD00117,urban,4,3,commercial
RD13683,residential,3,6,commercial
RD16302,residential,1,14,residential
RD02634,urban,2,4,
RD17989,residential,2,14,residential
RD02947,highway,,0,commercial
RD05883,urban,3,8,industrial
RD20596,residential,,9,commercial
RD17122,urban,3,7,industrial
RD13365,residential,3,11,industrial
RD00587,urban,2,4,commercial
RD14697,residential,,5,commercial
RD16610,residential,1,11,industrial
RD18791,highway,3,0,residential
RD21344,urban,2,11,commercial
RD07158,urban,2,5,commercial
RD13320,urban,4,7,
RD01173,urban,4,6,residential
RD18579,urban,2,10,commercial
RD00831,urban,2,8,residential
RD02027,residential,,5,residential
RD16299,residential,1,7,residential
RD19646,urban,4,3,residential
RD19288,residential,2,13,industrial
RD17241,highway,3,3,residential
RD18277,residential,,13,residential
RD03228,urban,,3,residential
RD15721,residential,3,11,
RD19717,highway,4,2,residential
RD10780,urban,4,7,residential
RD12420,highway,6,1,residential
RD10790,urban,2,5,commercial
RD03349,highway,6,2,commercial
RD19428,residential,2,14,residential
RD21436,highway,4,1,commercial
RD17200,urban,2,6,
RD17296,highway,3,0,residential
RD21171,residential,1,10,residential
RD10161,residential,,10,industrial
RD20953,highway,4,1,commercial
RD09541,highway,,,industrial
RD13120,urban,4,10,
RD00789,residential,3,11,residential
RD20470,urban,2,4,industrial
RD15811,residential,2,11,commercial
RD06664,urban,2,5,industrial
RD12629,urban,4,,commercial
RD10812,urban,,6,commercial
RD10681,urban,2,11,residential
RD19650,highway,5,0,
RD18788,residential,3,14,residential
RD10861,residential,3,11,residential
RD01387,highway,6,0,commercial
RD18491,urban,2,8,commercial
RD09886,urban,2,7,commercial
RD07620,urban,3,9,commercial
RD16183,urban,4,4,
RD05354,urban,,5,commercial
RD11263,residential,2,12,commercial
RD14492,residential,,8,commercial
RD03415,highway,5,1,commercial
RD19089,urban,3,10,commercial
RD13856,highway,3,1,industrial
RD13108,residential,3,7,industrial
RD13722,urban,4,9,residential
RD04877,residential,,7,
RD18127,residential,2,9,commercial
RD17226,highway,6,,commercial
RD14112,residential,1,10,residential
RD05358,residential,,11,commercial
RD08231,residential,1,8,commercial
RD21338,highway,3,0,industrial
RD04458,residential,1,9,residential
RD20904,urban,4,4,residential
RD13290,urban,,,commercial
RD06476,residential,2,5,industrial
RD10689,residential,3,15,residential
RD07337,highway,6,3,commercial
RD01897,residential,1,5,commercial
RD18852,residential,3,10,residential
RD18783,urban,4,11,commercial
RD01112,highway,3,2,commercial
RD17019,urban,2,,commercial
RD02261,residential,3,8,residential
RD02631,residential,2,11,residential
RD18058,residential,2,5,commercial
RD15373,residential,3,6,commercial
RD07963,urban,3,3,
RD08569,residential,,9,residential
RD07188,highway,,3,industrial
RD03840,urban,4,10,commercial
RD05843,urban,2,9,commercial
