traffic_id,hour,day_of_week,zone_type,traffic_level,avg_speed_kmph
TRF013019,5,0,,medium,54.5
TRF063401,,2,,high,22.0
TRF080578,20,2,,high,17.5
TRF034920,5,1,,high,25.0
TRF003983,8,2,residential,high,18.9
TRF010441,5,2,residential,low,63.2
TRF009222,20,1,commercial,high,13.0
TRF077566,23,3,industrial,low,62.2
TRF008133,4,0,commercial,low,74.0
TRF079583,12,6,commercial,low,46.6
TRF045898,17,5,,medium,42.9
TRF035764,,4,industrial,medium,50.0
TRF093432,22,5,,low,45.3
TRF081458,10,2,industrial,medium,55.0
TRF090913,1,5,residential,medium,52.4
TRF003706,16,3,residential,medium,43.8
TRF093706,6,3,commercial,,59.4
TRF063077,16,3,residential,low,79.2
TRF016839,9,5,commercial,high,10.3
TRF003714,22,3,,medium,51.8
TRF057312,22,5,residential,medium,30.0
TRF036344,6,6,,medium,42.9
TRF002866,3,1,residential,low,75.6
TRF041917,21,,commercial,low,47.5
TRF016080,21,2,industrial,low,74.0
TRF003026,23,0,residential,medium,25.2
TRF036044,20,4,residential,medium,50.4
TRF062791,19,3,commercial,high,21.9
TRF070451,22,5,commercial,low,63.9
TRF034295,18,2,residential,high,24.0
TRF068166,17,6,commercial,,66.6
TRF011879,17,2,commercial,medium,31.9
TRF049698,22,2,,low,74.5
TRF032044,,1,commercial,low,78.8
TRF035539,17,0,commercial,high,10.7
TRF001415,19,6,industrial,high,12.8
TRF002965,4,0,commercial,low,61.4
TRF090576,1,,,low,59.3
TRF069982,6,0,,high,20.3
TRF051180,5,0,,low,79.4
TRF026864,18,6,industrial,medium,44.8
TRF032027,16,5,commercial,high,14.2
TRF001957,16,6,industrial,medium,25.9
TRF090634,17,4,,high,12.1
TRF054663,18,4,residential,medium,35.5
TRF003439,11,2,commercial,high,18.6
TRF017488,14,2,,high,23.2
TRF095430,15,0,commercial,medium,50.2
TRF008233,6,2,,medium,52.2
TRF080699,2,4,industrial,,54.0
TRF039866,9,5,residential,high,27.0
TRF013726,15,6,,medium,48.3
TRF058845,2,0,,high,20.8
TRF031933,10,4,industrial,medium,33.7
TRF032283,8,5,residential,medium,52.4
TRF012365,3,3,residential,low,74.3
TRF091462,6,3,,medium,32.6
TRF015323,7,0,residential,high,27.8
TRF027147,4,6,commercial,low,76.6
TRF062497,4,0,,medium,52.4
TRF071563,18,4,industrial,high,23.6
TRF053477,20,0,residential,medium,53.8
TRF002272,0,6,,low,60.0
TRF009074,12,1,industrial,medium,30.4
TRF049872,17,4,commercial,low,59.8
TRF045125,12,3,residential,medium,50.1
TRF005697,22,3,residential,low,79.0
TRF062561,8,5,industrial,low,60.4
TRF071175,18,3,residential,high,15.2
TRF018867,1,,,medium,27.5
TRF002513,22,5,residential,low,74.7
TRF025303,21,0,industrial,low,46.7
TRF012687,15,4,industrial,medium,34.1
TRF087526,13,5,,medium,54.7
TRF021315,20,2,industrial,medium,43.2
TRF053048,21,0,industrial,low,57.5
TRF083971,11,1,industrial,medium,
TRF087819,1,0,commercial,low,60.3
TRF047752,5,1,residential,medium,33.2
TRF070496,20,0,,,62.4
TRF060357,15,1,commercial,medium,33.7
TRF007940,5,4,,medium,26.4
TRF083094,4,3,industrial,low,62.8
TRF045906,15,4,,high,27.2
TRF064384,6,6,commercial,medium,52.7
TRF041778,12,3,residential,medium,49.3
TRF083298,3,4,commercial,high,16.3
TRF000448,4,4,residential,low,66.1
TRF027669,9,6,industrial,high,26.9
TRF044517,19,1,,high,14.7
TRF053628,5,0,industrial,low,79.1
TRF077836,,4,commercial,high,24.2
TRF073211,18,0,,high,23.4
TRF090046,18,,residential,high,27.0
TRF013234,19,0,industrial,medium,53.1
TRF064468,3,5,commercial,low,63.0
TRF035387,14,2,commercial,medium,34.3
TRF095616,21,6,,low,60.5
TRF032844,16,2,residential,medium,37.1
TRF052019,6,5,,medium,39.3
TRF063569,5,1,commercial,low,69.0
TRF034950,14,6,industrial,medium,41.2
TRF000822,8,3,industrial,high,28.8
TRF048136,21,2,residential,medium,35.7
TRF014475,6,6,residential,medium,45.8
TRF052897,22,2,industrial,low,47.6
TRF093762,19,2,residential,high,23.3
TRF095586,16,2,residential,high,27.3
TRF006008,3,4,residential,high,22.5
TRF021760,16,2,industrial,medium,49.8
TRF007518,22,6,commercial,low,72.9
TRF072722,3,,industrial,low,73.8
TRF005554,6,4,commercial,low,58.1
TRF091623,1,0,residential,medium,28.2
