weather_id,weather_type,temperature_c,visibility_km,timestamp
1,clear,16.5,6.5,2023-02-28 00:00:00
4,clear,15.75,6.5,2023-01-22 00:00:00
5,rain,9.0,6.6,2023-12-27 00:00:00
6,clear,22.933333333333334,7.516666666666666,2023-03-01 00:00:00
7,clear,8.45,4.4,2023-01-25 05:25:00
8,fog,14.5,,2023-11-22 01:54:00
9,clear,33.666666666666664,7.3999999999999995,2023-04-24 23:00:14
10,clear,5.3,7.5,2023-12-05 00:00:00
15,rain,10.866666666666667,2.3333333333333335,2023-01-08 00:00:00
17,fog,8.7,1.6,2023-11-02 00:00:00
18,clear,29.0,6.2,2023-04-27 06:33:23
21,clear,28.9,8.6,2023-07-01 00:00:00
24,clear,27.3,9.7,2023-03-09 00:00:00
25,clear,31.5,7.0,2023-04-15 20:48:00
27,clear,12.2,6.4,2023-01-01 00:00:00
28,clear,16.77777777777778,5.5,2023-01-12 00:00:00
31,clear,1.0,6.0,2023-01-08 00:00:00
32,clear,13.0,8.1,2023-10-27 00:00:00
35,clear,18.049999999999997,6.9,2023-01-17 00:00:00
37,clear,29.8,6.5,2023-05-23 00:00:00
38,clear,13.7,7.7,2023-02-12 06:55:15
39,clear,13.049999999999999,6.25,2023-01-31 00:00:00
40,clear,8.1,5.2,2023-12-06 19:32:54
43,fog,13.266666666666666,3.8333333333333335,2023-09-16 00:00:00
44,fog,13.2,2.8,2023-10-17 00:00:00
45,clear,22.8,7.9,2023-06-06 17:43:00
46,clear,10.7,4.9,2023-01-22 06:08:00
47,clear,31.7,5.0,2023-05-05 13:47:00
50,clear,10.5,6.4,2023-10-19 11:49:38
52,clear,13.8,9.15,2023-02-09 00:00:00
53,clear,26.5,5.8,2023-03-26 18:59:46
54,clear,10.55,4.0249999999999995,2023-02-24 00:00:00
55,rain,12.2,4.7,2023-10-02 07:58:27
56,clear,9.6,8.2,2023-10-16 00:00:00
58,rain,20.2,2.6,2023-09-30 12:06:00
60,clear,26.633333333333336,6.3,2023-07-14 02:38:00
61,fog,22.9,0.8,2023-03-15 01:07:00
64,clear,18.25,7.1000000000000005,2023-03-14 00:00:00
67,clear,35.45,8.5,2023-06-27 16:27:39
69,rain,30.9,2.8,2023-05-23 10:45:55
70,clear,12.3,5.8,2023-10-16 00:00:00
72,clear,32.55,7.6,2023-05-12 18:30:01
74,clear,7.75,6.300000000000001,2023-01-10 19:18:00
76,clear,14.35,7.7,2023-09-05 17:52:00
77,clear,9.9,5.9,2023-02-26 12:23:00
80,fog,13.55,3.533333333333333,2023-04-15 00:00:00
81,clear,23.0,6.6,2023-04-20 13:42:48
82,clear,15.9,8.0,2023-02-21 09:49:00
83,clear,19.5,7.6,2023-10-05 13:46:00
84,clear,4.7,8.600000000000001,2023-11-19 00:00:00
85,clear,15.65,8.95,2023-08-12 00:00:00
87,fog,30.5,0.2,2023-05-10 07:52:00
92,clear,24.55,7.18,2023-04-01 09:25:00
94,clear,33.0,6.7,2023-06-07 00:00:00
95,clear,18.450000000000003,7.699999999999999,2023-09-11 01:42:00
96,clear,12.58,5.5,2023-02-05 00:00:00
97,clear,13.5,6.699999999999999,2023-02-22 00:00:00
98,clear,28.9,5.0,2023-04-03 21:28:28
99,rain,21.9,2.5,2023-03-20 14:23:00
100,clear,30.1,9.1,2023-05-11 11:25:04
101,clear,7.5,6.2,2023-11-06 09:18:05
103,clear,14.766666666666666,7.066666666666666,2023-02-05 00:00:00
104,rain,15.8,3.6375,2023-02-11 06:00:45
105,clear,14.4,5.4,2023-10-11 16:42:00
107,fog,32.2,0.7,2023-06-23 01:50:00
108,clear,7.7,7.6,2023-12-19 13:02:00
110,clear,16.4,5.45,2023-02-16 18:30:00
111,clear,20.424999999999997,5.325,2023-03-05 17:59:28
114,clear,14.6,8.3,2023-11-24 23:25:00
120,rain,10.6,6.8,2023-10-29 06:17:43
121,rain,26.3,4.52,2023-01-19 00:00:00
123,fog,27.299999999999997,3.7,2023-03-18 06:17:24
124,clear,10.45,5.15,2023-01-03 00:00:00
125,clear,25.1,9.9,2023-08-06 19:10:48
127,clear,2.533333333333333,5.65,2023-05-16 00:00:00
128,clear,19.6,6.0,2023-05-17 15:12:00
129,clear,0.6,9.0,2023-12-15 16:05:00
130,clear,24.642857142857142,6.685714285714285,2023-02-25 00:00:00
131,clear,19.2,8.9,2023-04-04 00:00:00
133,clear,14.66,4.68,2023-01-04 11:35:00
135,rain,30.4,1.7,2023-07-28 08:07:00
136,fog,9.3,1.1,2023-11-12 00:00:00
137,clear,15.2,9.8,2023-09-06 00:00:00
138,clear,17.91,4.33,2023-01-12 00:00:00
140,clear,13.133333333333335,8.200000000000001,2023-04-05 00:00:00
141,clear,33.7,7.0,2023-05-30 22:04:17
145,clear,29.6,9.8,2023-04-10 00:00:00
146,rain,7.4,5.5,2023-01-15 00:00:00
147,clear,28.8,7.2,2023-08-18 00:00:00
148,clear,28.03333333333333,6.0,2023-05-17 20:39:59
150,clear,22.1,7.0,2023-08-26 15:32:00
151,clear,29.2,5.6,2023-05-22 22:52:00
152,fog,12.6,1.6500000000000001,2023-03-26 00:00:00
154,fog,9.7,3.1,2023-11-04 00:00:00
155,rain,29.566666666666666,4.933333333333334,2023-03-14 00:00:00
159,clear,8.5,9.0,2023-01-01 10:51:54
161,clear,27.5,7.533333333333334,2023-03-07 22:49:14
163,clear,21.95,7.1,2023-06-12 09:59:00
166,fog,6.5,2.1,2023-11-16 00:30:00
167,clear,8.9,7.3,2023-02-27 00:00:00
169,clear,23.3,4.933333333333334,2023-04-01 02:26:00
170,clear,9.5,6.8,2023-12-20 21:14:00
171,clear,34.8,9.3,2023-06-24 17:53:00
172,rain,26.1,4.4,2023-04-25 11:25:23
173,clear,10.766666666666666,5.266666666666667,2023-01-17 00:00:00
174,clear,18.7,4.55,2023-05-30 05:39:00
176,fog,22.6,0.5,2023-03-10 05:58:55
177,clear,17.333333333333332,5.966666666666666,2023-01-06 02:22:00
179,rain,42.2,2.6,2023-06-25 12:12:00
180,clear,19.68,4.720000000000001,2023-01-02 00:20:00
181,clear,13.9,5.1,2023-02-19 08:20:00
182,clear,7.05,6.9,2023-12-18 13:39:06
183,clear,25.900000000000002,7.666666666666667,2023-01-12 20:39:50
187,clear,11.600000000000001,5.1,2023-02-01 00:00:00
188,clear,12.399999999999999,7.35,2023-09-02 14:46:00
191,clear,13.899999999999999,5.3,2023-03-21 22:41:33
192,rain,30.5,4.6,2023-08-31 00:00:00
194,clear,31.2,8.2,2023-05-11 19:11:08
196,rain,25.5,4.8,2023-04-07 20:43:16
197,clear,32.6,7.1,2023-05-26 18:52:56
198,rain,17.3,1.6,2023-03-19 00:00:00
199,rain,15.666666666666666,2.55,2023-02-03 09:29:00
200,clear,17.049999999999997,7.300000000000001,2023-09-19 00:00:00
202,clear,18.633333333333333,7.699999999999999,2023-01-13 00:00:00
204,fog,20.0,3.3,2023-03-13 00:00:00
206,clear,24.0,8.7,2023-08-11 00:00:00
207,rain,32.2,3.1,2023-07-18 00:00:00
208,clear,28.1,9.2,2023-08-10 00:00:00
209,clear,31.8,8.7,2023-07-21 20:35:00
210,clear,26.13333333333333,7.0,2023-06-01 00:00:00
211,clear,7.733333333333333,6.066666666666666,2023-02-06 00:00:00
212,clear,10.850000000000001,2.75,2023-09-24 23:24:16
215,fog,32.7,3.2,2023-05-28 00:00:00
216,clear,31.4,7.6,2023-08-18 00:00:00
217,clear,19.825,6.14,2023-02-01 00:00:00
218,clear,34.7,6.0,2023-06-02 00:16:00
219,clear,23.0,6.366666666666666,2023-01-24 12:27:00
220,clear,20.466666666666665,8.700000000000001,2023-02-19 10:55:00
223,rain,21.7,4.0,2023-03-27 23:30:46
225,clear,9.6,,2023-11-05 00:00:00
226,fog,24.8,2.4,2023-04-21 00:00:00
227,clear,16.6,6.6,2023-04-19 00:00:00
228,clear,22.4,9.4,2023-03-17 00:00:00
229,clear,9.9,8.6,2023-02-13 11:48:00
231,rain,16.9,3.9,2023-03-28 00:00:00
232,fog,23.2,3.0,2023-03-19 00:00:00
235,clear,-2.5,7.2,2023-01-21 00:00:00
236,clear,32.0,5.65,2023-04-22 18:47:00
239,clear,30.6,6.2,2023-05-02 00:00:00
241,clear,26.233333333333334,8.1,2023-03-01 00:00:00
242,fog,7.0,0.6,2023-11-27 00:00:00
244,clear,27.650000000000002,6.85,2023-03-15 00:00:00
246,clear,10.4,7.7,2023-10-19 00:00:00
248,fog,13.5,1.1,2023-03-24 00:00:00
249,clear,21.05,5.55,2023-07-26 04:15:16
251,clear,18.725,5.9750000000000005,2023-01-15 20:46:59
252,clear,2.9,5.5,2023-11-29 18:50:00
257,clear,17.9,6.949999999999999,2023-01-17 00:00:00
258,clear,17.583333333333332,6.125,2023-03-09 00:00:00
259,rain,34.9,5.8,2023-06-14 10:45:55
260,clear,35.1,8.15,2023-06-18 12:40:04
267,clear,24.1,6.2,2023-03-06 12:18:00
269,clear,23.7,8.9,2023-07-13 00:00:00
270,clear,24.175,5.15,2023-06-06 20:15:23
271,fog,10.6,2.2,2023-10-04 00:00:00
273,rain,8.200000000000001,2.45,2023-03-27 06:56:48
274,clear,7.2,7.9,2023-12-31 00:00:00
277,clear,29.6,7.3,2023-04-23 23:42:00
278,clear,30.766666666666666,5.3999999999999995,2023-06-06 00:00:00
279,fog,9.5,1.35,2023-01-18 02:02:00
280,fog,14.299999999999999,1.4500000000000002,2023-03-24 06:44:00
281,clear,20.166666666666668,7.4,2023-03-01 23:00:58
282,clear,13.25,5.2,2023-09-07 23:36:00
283,clear,7.2,6.6,2023-12-12 19:33:00
285,clear,22.15,8.25,2023-02-28 00:00:00
286,rain,32.5,3.2,2023-08-13 11:27:22
287,clear,18.3,7.9,2023-09-25 19:15:00
288,clear,30.6,9.9,2023-07-09 00:00:00
291,clear,11.524999999999999,5.125,2023-02-22 06:37:58
292,rain,14.5,3.4,2023-01-14 15:06:00
293,rain,24.6,4.1,2023-08-13 00:00:00
294,clear,35.7,5.4,2023-08-26 16:36:00
296,fog,12.5,,2023-11-15 04:12:00
297,clear,22.1,6.74,2023-05-11 00:00:00
299,fog,35.2,1.2,2023-04-01 02:52:48
300,rain,8.2,3.8,2023-01-13 00:00:00
303,clear,21.5,8.8,2023-08-09 03:00:30
304,fog,21.15,0.2,2023-01-31 00:00:00
306,clear,25.7,5.6,2023-06-21 04:43:00
308,clear,8.7,7.099999999999999,2023-07-19 00:00:00
312,clear,7.6,6.9,2023-02-15 13:21:00
313,clear,19.919999999999998,6.7,2023-08-08 00:00:00
314,clear,20.55,7.5,2023-07-15 00:00:00
315,clear,23.950000000000003,8.15,2023-07-09 00:00:00
316,clear,17.55,7.133333333333334,2023-05-20 00:00:00
319,clear,22.66,6.425000000000001,2023-08-12 17:46:00
320,clear,21.65,9.25,2023-09-26 08:41:00
321,rain,31.1,4.1,2023-04-26 20:34:00
322,rain,17.3,4.7,2023-02-05 19:30:10
323,rain,23.15,2.55,2023-02-07 22:08:00
324,clear,24.6,8.0,2023-04-17 11:27:00
325,clear,34.5,9.5,2023-07-23 21:31:00
326,clear,32.35,9.0,2023-04-18 21:33:00
328,clear,21.9,6.1,2023-08-21 00:00:00
329,fog,9.0,2.0,2023-01-12 00:00:00
330,rain,18.6,6.5,2023-10-30 00:00:00
332,clear,29.8,9.6,2023-07-22 21:01:00
333,clear,21.0,4.966666666666667,2023-02-08 00:00:00
334,fog,39.0,3.3,2023-05-08 00:32:11
337,clear,34.8,7.7,2023-06-04 13:38:05
339,clear,20.55,5.1,2023-05-29 00:00:00
340,clear,28.3,6.1,2023-04-13 00:00:00
341,clear,10.9,9.8,2023-10-12 09:08:00
342,fog,10.875,4.433333333333334,2023-01-15 00:00:00
344,fog,18.0,2.9,2023-03-07 05:53:00
345,clear,10.65,5.5,2023-01-04 12:48:00
347,clear,36.8,5.300000000000001,2023-07-31 06:57:00
348,fog,29.7,2.0,2023-05-08 00:00:00
349,clear,34.9,4.6,2023-05-03 22:32:00
350,fog,1.4,1.2,2023-12-24 04:35:04
351,clear,20.8,8.1,2023-09-12 10:03:55
353,clear,26.8,6.3,2023-04-18 00:00:00
356,clear,17.833333333333332,9.033333333333333,2023-04-21 23:15:00
357,clear,20.619999999999997,6.18,2023-01-07 09:54:35
361,clear,15.8,6.0,2023-02-26 12:47:51
362,clear,25.2,7.2,2023-05-21 20:50:44
364,clear,30.4,9.5,2023-06-15 20:38:00
365,clear,13.4,5.6,2023-04-29 00:00:00
366,clear,15.966666666666669,5.533333333333334,2023-01-14 00:00:00
368,clear,17.6,4.4,2023-01-17 02:59:00
369,clear,13.74,7.9,2023-02-25 00:00:00
373,rain,0.6,,2023-01-15 14:20:00
374,clear,34.1,9.3,2023-06-17 00:00:00
375,clear,18.5,6.2,2023-09-04 12:51:00
376,clear,15.5,7.9,2023-03-02 00:00:00
