road_id,road_type,num_lanes,num_signals,zone_type
RD08466,urban,,9,COMMERCIAL
RD01426,residential,2,7,Residntl
RD00830,Resdntl,,5,Residntl
RD15368,urban,,8,commercial
RD09483,highway,6,3,residential
RD15289,residential,-1,10,residential
,urban,2,4,industrial
RD20061,residential,2,7,residential
RD00139,HIGHWAY,3,2,industrial
,residential,1,13,Residntl
RD12084,urban,3,3,industrial
RD19930,highway,3,2,commercial
RD05558,highway,,3,Industrial
RD18361,urban,3,3,commercial
RD02155,residential,1,12,residential
RD00651,Residential,1,10,residential
RD20393,Resdntl,1,8,commercail
RD00870,HIGHWAY,6,0,Industrial
RD02378,highway,5,3,industrial
RD18613,residential,3,12,residential
RD09379,urban,3,3,residential
RD10623,residential,1,6,COMMERCIAL
RD07521,residential,3,7,residential
RD13099,highway,5,2,residential
RD02042,residential,3,5,residential
RD09419,urban,2,6,commercail
RD21871,residential,1,13,residential
RD21912,residential,3,,commercial
RD00995,residential,1,12,residential
RD14781,urban,,,residential
RD08580,highway,3,1,commercial
RD15235,urban,3,5,residental
RD17600,URBAN,3,6,
,urban,3,5,Commercial
RD06449,urban,0,5,residential
RD07268,residential,3,7,commercial
RD18291,residential,3,9,Commercal
RD16034,residential,2,12,residential
RD01468,residential,1,13,Residential
RD15814,highway,6,2,industrial
RD21034,urban,3,10,residential
RD21237,urban,2,6,residential
RD00747,Urbn,2,3,residential
RD09963,residental,2,13,residential
RD05727,highway,4,2,industrial
RD19120,highway,4,3,
RD10093,urban,2,8,commercial
RD15877,urban,2,4,Commercal
RD14116,residential,1,8,residential
,RESIDENTIAL,2,11,commercial
RD18200,residential,2,13,residential
RD09095,urban,3,5,residential
RD01107,residential,10,6,Residential
RD06454,urban,4,5,residential
,Urban,3,5,commercial
RD02210,urban,4,3,industrial
RD06726,residential,1,8,residential
RD16073,residential,2,13,residential
RD20959,residential,3,8,commercial
RD10862,urban,3,7,
RD16711,highwy,5,2,residential
RD14830,urban,2,3,commercial
RD15858,urban,4,4,Commercal
RD15220,urban,,4,commercial
RD15208,resdntl,1,11,Residential
RD01189,urban,4,3,commercial
RD03753,residential,2,12,commercial
RD21772,urban,2,3,commercial
RD05183,urban,4,6,
RD00452,Urban,4,9,commercial
RD13655,urban,,11,commercial
RD00399,residential,2,14,Residntl
RD02057,residential,3,5,commercial
RD21380,highway,6,0,Industrial
RD01947,urban,3,3,industrial
RD20871,highwy,4,1,COMMERCIAL
RD06683,residential,1,9,residential
RD21745,highway,4,0,commercial
RD20300,residential,2,14,RESIDENTIAL
RD10081,highway,5,1,commercial
RD21082,urbna,4,4,residential
RD15103,Urbn,3,4,residential
RD04645,Residential,2,14,Commercal
RD05661,highway,3,1,commercial
RD20174,highway,3,3,Commercal
RD15509,Hghway,5,0,commercial
RD10125,urban,4,7,commercial
RD06431,residential,2,7,residential
RD02108,urban,2,5,commercial
RD12400,residential,2,7,residential
RD11324,residential,,9,industrial
RD13279,HIGHWAY,0,1,industrial
RD06344,highwy,3,3,industrial
RD06024,residential,3,10,commercial
RD10079,urban,3,7,industral
RD11720,Resdntl,3,12,Residntl
RD01796,URBAN,3,11,residential
RD03397,urban,4,5,industrial
RD05299,urban,2,,commercial
RD20691,residential,2,14,industrial
RD06509,highwy,4,3,commercial
RD10594,residential,2,,residential
RD09758,urbn,2,11,industrial
RD18505,highway,,,
RD10174,urban,3,4,commercial
RD20209,highway,3,0,
RD15200,urban,4,3,residential
RD03055,residential,3,5,industrial
RD16147,highway,6,3,residential
RD11883,Urbn,4,3,industrial
RD02310,highway,3,3,residential
RD05202,urban,4,7,commercial
RD11862,residential,1,15,commercial
RD02734,urban,4,10,commercial
RD09674,highway,4,0,industrial
RD03087,urban,3,10,Residntl
RD11130,urban,2,8,Industral
RD11454,urban,3,11,industrial
RD20505,RESIDENTIAL,1,11,residential
RD03659,highwy,,0,residential
RD20537,residential,3,14,industrial
RD15282,urban,,,industrial
RD12069,Urban,2,11,commercial
RD13473,residential,3,8,industrial
RD14553,urbna,4,11,
RD17928,urban,3,9,commercial
RD00352,HIGHWAY,6,0,industrial
RD14812,residential,,14,industrial
RD07481,HGHWAY,3,2,commercial
RD13480,residential,2,13,residential
RD21354,urban,3,,residential
RD02249,highway,3,2,commercial
RD02373,Resdntl,1,8,
RD16177,residential,3,8,Residntl
RD06938,residential,3,11,RESIDENTIAL
RD16046,residential,10,13,Residntl
RD08292,Highway,6,0,commercial
RD13693,residential,3,6,
RD19941,highway,4,1,commercial
RD20325,highway,6,2,commercial
RD16246,highway,,3,
RD13331,residential,2,9,industrial
RD03728,highway,5,2,commercial
RD13664,residential,3,8,commercial
RD04744,URBAN,4,4,commercial
