weather_id,timestamp,weather_type,temperature_c,visibility_km
33272,14/06/23,raining,29.9,6.0
59810,22/09/23 03:27,raining,19.1,2.2
6974,2023-12-11 18:37:32,clr,7.6,6.0
57051,26/09/23,clear,28.5,6.1
40980,2023-11-01,clr,5.7,7.7
19559,11-30-2023 15:12,clear,2.6,8.9
55160,01/05/23,clear,32.1,6.5
41875,11-06-2023 18:18,Sunny,9.3,8.3
33271,2023-11-30,FOGGY,9.8,2.4
39910,04-18-2023 20:53,Sunny,22.2,10.0
13036,2023-07-17 21:37:27,Raining,34.8,2.0
10017,2023-02-07,rain ,16.7,2.2
24505,2023-05-06,Sunny,37.8,8.2
49972,05/08/23,Clear,32.1,5.4
10588,03-31-2023 16:35,clr,16.4,7.8
35349,02/07/23,clear,36.7,7.6
51029,05/04/23,Sunny,28.1,5.9
34758,02/01/23 21:08,CLR,18.3,8.6
38,2023-02-12 06:55:15,sunny,13.7,7.7
39253,2023-12-19,Sunny,1.1,5.3
21244,25/10/23 13:00,RAINY,16.7,3.3
32022,2023-03-21,rain,30.2,4.6
1277,2023-12-21,FOG,2.6,2.9
7332,10/08/23,clear,31.7,10.0
23789,30/04/23 15:49,Clear,35.0,5.6
57588,01-18-2023 13:34,CLR,12.5,5.2
54505,2023-02-08 03:41:19,CLEAR,5.7,5.5
52873,2023-07-17,rain ,35.0,3.1
20154,18/02/23,Sunny,10.9,7.4
15693,03/04/23 19:29,CLEAR,28.6,8.6
3797,15/03/23 03:13,fog,33.4,0.5
15786,26/11/23 08:12,clear,8.7,8.0
57542,2023-05-02 16:24:53,clr,38.6,7.2
37183,03-26-2023 02:05,clear,18.7,8.0
5162,2023-06-18,fog,32.2,2.4
5614,07-06-2023 19:21,Clear,38.9,8.6
47967,2023-06-07,Sunny,30.9,9.8
31850,03-31-2023 12:42,clr,26.3,5.0
53479,22/10/23 14:24,CLR,9.7,5.4
4536,2023-01-29 15:53:26,CLR,0.7,6.3
49847,2023-02-04,rainy,15.2,4.5
34912,08-31-2023 16:02,RAIN,20.2,
