feature,importance
num__distance_km,0.6503567088595041
num__num_signals,0.09400239666155963
num__avg_speed_kmph,0.037172227219292586
cat__road_type_highway,0.03584495789703094
num__num_lanes,0.035204199008256956
num__visibility_km,0.026878175006749563
ord__traffic_level,0.02451734366185569
num__temperature_c,0.023494658874630148
cat__road_type_residential,0.020579209277694927
num__hour,0.015650320444636368
cat__road_type_urban,0.013610565030408504
num__day_of_week,0.010022335327764772
bool__is_rush_hour,0.003722418737390379
cat__weather_type_clear,0.003309578825870386
cat__weather_type_fog,0.002487403780800158
bool__is_weekend,0.0021061865383218276
cat__weather_type_rain,0.0010413148482328902
